actication:relu, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.01, Precision: 0.0641, Recall: 0.7153, F1-measure: 0.1173, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.1, Precision: 0.1605, Recall: 0.6591, F1-measure: 0.2563, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.2, Precision: 0.1631, Recall: 0.6586, F1-measure: 0.2597, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.3, Precision: 0.1655, Recall: 0.6572, F1-measure: 0.2628, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.4, Precision: 0.1007, Recall: 0.2983, F1-measure: 0.1495, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.5, Precision: 0.1010, Recall: 0.2983, F1-measure: 0.1498, RANK:10.355620372447834, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.6, Precision: 0.1167, Recall: 0.2974, F1-measure: 0.1654, RANK:10.355620372447834, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 1e-05, Precision: 0.0399, Recall: 0.7291, F1-measure: 0.0755, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 9, Precision: 0.0000, Recall: 0.0000, F1-measure: 0.0000, RANK:11.094906888041283, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.7, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:10.355620372447834, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.001, Precision: 0.0505, Recall: 0.7282, F1-measure: 0.0942, RANK:11.094906888041283, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.8, Precision: 0.1539, Recall: 0.2967, F1-measure: 0.2015, RANK:10.355620372447834, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.01, Precision: 0.0656, Recall: 0.7130, F1-measure: 0.1199, RANK:11.094906888041283, accu:0.3022212250392641

actication:relu, hidden64, alpha0.001, Val: 0.9, Precision: 0.3040, Recall: 0.2930, F1-measure: 0.2967, RANK:10.355620372447834, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.1, Precision: 0.1516, Recall: 0.6614, F1-measure: 0.2451, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.2, Precision: 0.1563, Recall: 0.5832, F1-measure: 0.2438, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.3, Precision: 0.1302, Recall: 0.4542, F1-measure: 0.1995, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.4, Precision: 0.1054, Recall: 0.3221, F1-measure: 0.1571, RANK:11.094906888041283, accu:0.3022212250392641

actication:tanh, hidden64, alpha0.001, Val: 0.5, Precision: 0.0999, Recall: 0.2985, F1-measure: 0.1485, RANK:11.094906888041283, accu:0.3022212250392641

