, exclusive , 0.01 , 100.0,  29.05654027372672
, exclusive , 0.01 , 1.0,  28.769127215615885
, exclusive , 0.01 , 0.1,  28.6843168050258
, exclusive , 1e-20 , 1.0,  29.07942562261611
, exclusive , 0.01 , 10.0,  28.81198115324209
, exclusive , 1e-10 , 1.0,  27.65873906214943
, exclusive , 1e-05 , 0.1,  25.69688131029841
, exclusive , 1e-05 , 1.0,  27.293919676912722
, exclusive , 1e-10 , 10.0,  25.545882880861566
, exclusive , 1e-10 , 100.0,  28.375588961184654
, exclusive , 1e-05 , 10.0,  18.76149876598609
, exclusive , 0.001 , 1.0,  28.728965671976667
, exclusive , 1e-05 , 100.0,  29.019744222571237
, exclusive , 0.001 , 10.0,  29.236033206192506
, exclusive , 1e-20 , 10.0,  24.454790217635182
, exclusive , 1e-20 , 0.1,  24.498092887592552
, exclusive , 0.001 , 100.0,  29.407224590531747
, exclusive , 1e-10 , 0.1,  24.832622840475658
, exclusive , 1e-20 , 100.0,  28.317253758133273
, exclusive , 0.001 , 0.1,  17.34372896567198
, inclusive , 0.01 , 1.0,  28.769127215615885
, inclusive , 0.01 , 0.1,  28.6843168050258
, inclusive , 0.01 , 100.0,  29.05654027372672
, inclusive , 1e-05 , 1.0,  27.293919676912722
, inclusive , 1e-05 , 100.0,  29.019744222571237
, inclusive , 1e-10 , 10.0,  25.545882880861566
, inclusive , 1e-20 , 0.1,  24.498092887592552
, inclusive , 0.001 , 10.0,  29.236033206192506
, inclusive , 1e-10 , 100.0,  28.375588961184654
, inclusive , 1e-20 , 1.0,  29.07942562261611
, inclusive , 1e-20 , 100.0,  28.317253758133273
, inclusive , 0.01 , 10.0,  28.81198115324209
, inclusive , 1e-10 , 1.0,  27.65873906214943
, inclusive , 1e-05 , 0.1,  25.69688131029841
, inclusive , 0.001 , 1.0,  28.728965671976667
, inclusive , 0.001 , 100.0,  29.407224590531747
, inclusive , 1e-05 , 10.0,  18.76149876598609
, inclusive , 0.001 , 0.1,  17.34372896567198
, inclusive , 1e-20 , 10.0,  24.454790217635182
, inclusive , 1e-10 , 0.1,  24.832622840475658
, less_inclusive , 0.01 , 1.0,  28.769127215615885
, less_inclusive , 0.01 , 0.1,  28.6843168050258
, less_inclusive , 1e-05 , 1.0,  27.293919676912722
, less_inclusive , 1e-10 , 10.0,  25.545882880861566
, less_inclusive , 1e-20 , 0.1,  24.498092887592552
, less_inclusive , 1e-20 , 100.0,  28.317253758133273
, less_inclusive , 0.01 , 100.0,  29.05654027372672
, less_inclusive , 1e-10 , 100.0,  28.375588961184654
, less_inclusive , 0.001 , 1.0,  28.728965671976667
, less_inclusive , 1e-05 , 100.0,  29.019744222571237
, less_inclusive , 1e-05 , 10.0,  18.76149876598609
, less_inclusive , 1e-05 , 0.1,  25.69688131029841
