ingredient, count
spray,232
salt,181
pepper,152
oil,132
butter,107
sugar,91
cheese,88
powder,60
clove,59
onion,53
sauce,52
egg,40
water,39
flour,39
cream,29
lemon,25
leaf,24
extract,23
potato,21
honey,19
seed,19
seasoning,18
thyme,18
milk,17
carrot,16
broth,16
parsley,15
vinegar,15
cilantro,15
beef,14
rib,14
bread,13
tomato,13
ginger,13
thigh,12
juice,12
cumin,11
oregano,11
tortilla,11
scallion,11
mustard,11
crust,11
chip,11
cinnamon,11
mushroom,11
chocolate,11
cornstarch,11
rice,10
bean,10
ketchup,10
paprika,10
breast,10
pecan,9
lime,9
yeast,9
bacon,8
avocado,8
flake,8
syrup,8
apple,8
chicken,8
bar,7
sage,7
floret,6
chile,6
garlic,6
blend,6
shrimp,6
sausage,6
breadcrumb,6
yogurt,6
ham,6
cracker,6
roast,6
spaghetti,6
cranberry,6
spinach,6
coriander,5
steak,5
squash,5
cauliflower,5
olife,5
slice,5
orange,5
rosemary,5
tofu,5
link,4
crumble,4
turkey,4
soda,4
shallot,4
yolk,4
half,4
chily,3
mix,3
quinoa,3
roll,3
wine,3
paste,3
verde,3
ziti,3
wing,3
chop,3
sherry,3
nutmeg,3
allspice,3
white,3
soup,3
fillet,3
mayonnaise,3
dressing,2
lettuce,2
zucchini,2
salsa,2
bulb,2
morsel,2
coconut,2
noodle,2
shell,2
leg,2
berry,2
radish,2
herb,2
purée,2
turmeric,2
eggplant,2
pinenut,2
sprout,2
topping,2
tenderloin,2
applesauce,2
worchestershire,2
banana,2
oat,2
wedge,2
masala,2
dill,2
adobo,2
cabbage,2
cucumber,2
mint,2
za'atar,2
zest,2
basil,2
kimchi,1
chive,1
asparagu,1
broccoli,1
shiitake,1
beansprout,1
root,1
pasta,1
baguette,1
buttermilk,1
jimmy,1
eyeball,1
hazelnut,1
microgreen,1
brisket,1
chorizo,1
tortellini,1
peppercorn,1
chard,1
mozzarella,1
corn,1
walnut,1
pear,1
mirin,1
butt,1
provence,1
vegetable,1
blueberry,1
flaxseed,1
stick,1
pesto,1
pork,1
wafer,1
stevia,1
sprinkle,1
sprig,1
cup,1
leek,1
hock,1
lentil,1
tumeric,1
ball,1
paneer,1
edamame,1
spice,1
dripping,1
fat,1
paper,1
gochujang,1
dough,1
pancetta,1
pea,1
molass,1
horseradish,1
cider,1
seaweed,1
kale,1
naan,1
gelatin,1
miso,1
tahini,1
coloring,1
rum,1
jam,1
cooky,1
