Length, Count
6,87
8,61
13,76
9,74
10,72
14,64
12,83
17,42
7,53
16,52
18,36
15,61
5,94
19,35
11,70
26,32
20,38
22,37
21,34
31,26
25,36
28,14
23,26
24,26
27,29
32,13
29,24
30,35
34,8
33,15
39,13
36,14
38,10
37,8
44,3
35,11
40,5
47,3
46,5
45,3
43,9
48,2
52,2
62,2
58,1
41,1
42,1
6,87
8,61
13,76
9,74
10,72
14,64
12,83
17,42
7,53
16,52
18,36
15,61
5,94
19,35
11,70
26,32
20,38
22,37
21,34
31,26
25,36
28,14
23,26
24,26
27,29
32,13
29,24
30,35
34,8
33,15
39,13
36,14
38,10
37,8
44,3
35,11
40,5
47,3
46,5
45,3
43,9
48,2
52,2
62,2
58,1
41,1
42,1
