len, length
6,6
8,8
6,6
6,6
13,13
9,9
10,10
10,10
13,13
14,14
12,12
13,13
13,13
8,8
17,17
9,9
8,8
6,6
6,6
13,13
8,8
6,6
7,7
16,16
17,17
18,18
18,18
15,15
8,8
7,7
7,7
9,9
17,17
14,14
14,14
14,14
16,16
13,13
16,16
7,7
17,17
5,5
9,9
5,5
6,6
5,5
9,9
10,10
8,8
16,16
17,17
16,16
8,8
6,6
10,10
7,7
6,6
15,15
5,5
13,13
16,16
12,12
14,14
17,17
9,9
12,12
8,8
6,6
9,9
10,10
8,8
19,19
17,17
7,7
14,14
13,13
12,12
5,5
13,13
5,5
17,17
11,11
5,5
5,5
12,12
11,11
19,19
26,26
17,17
13,13
12,12
15,15
20,20
13,13
20,20
22,22
22,22
17,17
22,22
19,19
14,14
21,21
19,19
31,31
18,18
25,25
19,19
22,22
19,19
5,5
5,5
18,18
12,12
19,19
13,13
14,14
28,28
14,14
19,19
20,20
20,20
21,21
21,21
22,22
25,25
12,12
5,5
21,21
13,13
5,5
23,23
22,22
31,31
24,24
26,26
25,25
14,14
14,14
14,14
19,19
20,20
20,20
21,21
22,22
21,21
25,25
21,21
22,22
23,23
26,26
27,27
5,5
32,32
7,7
24,24
14,14
13,13
14,14
15,15
14,14
14,14
16,16
17,17
16,16
24,24
26,26
28,28
28,28
29,29
12,12
14,14
30,30
34,34
13,13
14,14
16,16
15,15
14,14
16,16
13,13
16,16
17,17
19,19
20,20
22,22
19,19
21,21
27,27
13,13
9,9
29,29
11,11
10,10
11,11
11,11
11,11
10,10
11,11
10,10
11,11
10,10
12,12
13,13
13,13
15,15
11,11
12,12
22,22
5,5
5,5
7,7
12,12
16,16
16,16
19,19
13,13
14,14
13,13
18,18
15,15
13,13
15,15
14,14
23,23
23,23
23,23
18,18
17,17
13,13
5,5
13,13
18,18
29,29
33,33
28,28
29,29
18,18
34,34
39,39
13,13
11,11
36,36
14,14
12,12
11,11
13,13
13,13
12,12
13,13
12,12
17,17
13,13
14,14
15,15
17,17
9,9
16,16
11,11
12,12
13,13
20,20
17,17
10,10
16,16
22,22
10,10
11,11
11,11
10,10
10,10
11,11
11,11
10,10
15,15
17,17
18,18
24,24
26,26
27,27
16,16
28,28
11,11
10,10
11,11
11,11
20,20
14,14
13,13
10,10
10,10
12,12
10,10
10,10
12,12
10,10
15,15
9,9
11,11
32,32
18,18
16,16
15,15
13,13
11,11
12,12
15,15
16,16
15,15
16,16
17,17
17,17
9,9
17,17
21,21
16,16
16,16
11,11
25,25
13,13
10,10
10,10
11,11
13,13
10,10
11,11
15,15
10,10
11,11
11,11
15,15
15,15
10,10
12,12
11,11
16,16
17,17
16,16
16,16
15,15
16,16
16,16
24,24
11,11
13,13
6,6
12,12
22,22
15,15
14,14
15,15
14,14
14,14
22,22
15,15
13,13
12,12
22,22
17,17
18,18
16,16
17,17
12,12
18,18
12,12
5,5
7,7
23,23
14,14
15,15
36,36
15,15
16,16
15,15
17,17
15,15
18,18
26,26
28,28
29,29
30,30
32,32
27,27
14,14
27,27
11,11
31,31
10,10
18,18
9,9
34,34
15,15
11,11
11,11
12,12
10,10
16,16
11,11
18,18
12,12
13,13
13,13
14,14
14,14
16,16
16,16
10,10
21,21
10,10
16,16
10,10
29,29
17,17
14,14
11,11
10,10
12,12
10,10
12,12
15,15
14,14
13,13
11,11
12,12
12,12
18,18
17,17
18,18
12,12
22,22
18,18
18,18
18,18
18,18
22,22
13,13
26,26
5,5
5,5
12,12
19,19
12,12
13,13
14,14
14,14
22,22
23,23
24,24
25,25
24,24
26,26
26,26
24,24
24,24
25,25
32,32
5,5
5,5
12,12
23,23
31,31
13,13
14,14
14,14
38,38
14,14
19,19
20,20
21,21
31,31
30,30
22,22
21,21
26,26
21,21
21,21
22,22
24,24
22,22
28,28
28,28
29,29
5,5
9,9
33,33
11,11
9,9
26,26
23,23
20,20
8,8
22,22
21,21
7,7
11,11
5,5
5,5
29,29
22,22
19,19
21,21
25,25
8,8
23,23
8,8
22,22
8,8
7,7
8,8
31,31
11,11
16,16
23,23
9,9
30,30
12,12
10,10
12,12
20,20
7,7
5,5
9,9
12,12
21,21
36,36
31,31
16,16
30,30
24,24
25,25
24,24
37,37
38,38
10,10
12,12
13,13
25,25
10,10
13,13
8,8
14,14
19,19
18,18
13,13
8,8
12,12
27,27
14,14
24,24
25,25
39,39
22,22
14,14
16,16
27,27
44,44
8,8
12,12
15,15
15,15
20,20
19,19
19,19
19,19
18,18
18,18
19,19
19,19
25,25
19,19
20,20
22,22
30,30
32,32
25,25
27,27
26,26
19,19
26,26
26,26
14,14
24,24
26,26
5,5
6,6
26,26
10,10
6,6
23,23
10,10
15,15
7,7
11,11
16,16
11,11
15,15
27,27
16,16
29,29
25,25
27,27
16,16
20,20
18,18
26,26
29,29
21,21
35,35
16,16
20,20
20,20
30,30
30,30
20,20
19,19
20,20
6,6
9,9
14,14
11,11
12,12
39,39
14,14
40,40
25,25
35,35
47,47
8,8
46,46
45,45
40,40
13,13
34,34
12,12
37,37
29,29
15,15
8,8
19,19
5,5
36,36
15,15
28,28
21,21
24,24
25,25
22,22
30,30
12,12
14,14
29,29
30,30
37,37
38,38
8,8
39,39
8,8
6,6
7,7
16,16
20,20
7,7
20,20
13,13
19,19
8,8
8,8
6,6
15,15
15,15
35,35
5,5
5,5
6,6
8,8
10,10
15,15
13,13
14,14
28,28
25,25
26,26
22,22
25,25
33,33
10,10
23,23
23,23
39,39
43,43
46,46
43,43
33,33
22,22
48,48
25,25
21,21
9,9
8,8
23,23
18,18
43,43
14,14
17,17
13,13
17,17
20,20
39,39
21,21
21,21
29,29
45,45
17,17
47,47
23,23
46,46
22,22
7,7
21,21
27,27
6,6
20,20
9,9
20,20
23,23
19,19
20,20
47,47
39,39
10,10
5,5
8,8
9,9
43,43
22,22
46,46
43,43
46,46
27,27
43,43
30,30
14,14
48,48
5,5
5,5
8,8
