Seed,Order,Accuracy,Supervision
896783, 1, 0.30879253236976817, w/o
9, 1, 0.3142981691368788, w/o
12, 1, 0.31337830241708825, w/o
15, 1, 0.3169291338582677, w/o
45234, 1, 0.313573883161512, w/o
896783, 2, 0.4742547425474255, w/o
9, 2, 0.46527172333623945, w/o
45234, 2, 0.46735395189003437, w/o
12, 2, 0.4856661045531197, w/o
15, 2, 0.47075365579302586, w/o
896783, 3, 0.5075278530563083, w/o
9, 3, 0.5024702121476315, w/o
15, 3, 0.5102643419572553, w/o
12, 3, 0.5193929173693086, w/o
45234, 3, 0.5031500572737686, w/o
896783, 4, 0.5338753387533876, w/o
9, 4, 0.533420517291485, w/o
15, 4, 0.5338863892013498, w/o
12, 4, 0.5494659921304104, w/o
45234, 4, 0.5352233676975945, w/o
896783, 5, 0.5529960855164108, w/o
9, 5, 0.5549258936355711, w/o
15, 5, 0.5527277840269966, w/o
12, 5, 0.5646430578976953, w/o
45234, 5, 0.5641466208476518, w/o
9, 58, 0.6118860796280151, w/o
896783, 62, 0.6141222523336345, w/o
12, 62, 0.6298482293423272, w/o
45234, 62, 0.6209908361970218, w/o
15, 62, 0.624156355455568, w/o
45234, 1, 0.313573883161512,w
896783, 1, 0.30879253236976817,w
15, 1, 0.3169291338582677,w
12, 1, 0.31337830241708825,w
9, 1, 0.3142981691368788,w
45234, 2, 0.47995418098510884,w
896783, 2, 0.4899126769045468,w
15, 2, 0.4890326209223847,w
12, 2, 0.4952220348510399,w
9, 2, 0.4739901191514095,w
45234, 3, 0.529639175257732,w
896783, 3, 0.5347786811201445,w
15, 3, 0.5375421822272216,w
12, 3, 0.5424395727937044,w
9, 3, 0.524120895088637,w
45234, 4, 0.5919243986254296,w
896783, 4, 0.5892803372478169,w
15, 4, 0.5875984251968503,w
12, 4, 0.599213041034289,w
9, 4, 0.5863121185701831,w
896783, 5, 0.63354411321891,w
45234, 5, 0.6358820160366552,w
15, 5, 0.6282339707536558,w
12, 5, 0.6329398538504778,w
9, 5, 0.6269979657076431,w
9, 58, 0.7399011915140947,w
896783, 62, 0.74194519722975,w
45234, 62, 0.7498568155784651,w
15, 62, 0.750140607424072,w
