Seed, Order, Accuracy, Supervision
896783, 5, 0.6145739235170129, w
15, 5, 0.6113610798650169, w
9, 5, 0.6126126126126126, w
45234, 5, 0.6116838487972509, w
12, 5, 0.6149522203485104, w
45234, 62, 0.7724799541809851, w
12, 62, 0.7748735244519392, w
12, 4, 0.5050590219224284, w
9, 62, 0.7766637605347283, w
896783, 62, 0.7764227642276422, w
9, 4, 0.5042138913106655, w
15, 62, 0.7691226096737908, w
896783, 4, 0.5073772959951822, w
45234, 4, 0.5147479954180985, w
15, 4, 0.5022497187851519, w
15, 3, 0.3607986501687289, w
45234, 3, 0.3702749140893471, w
9, 3, 0.35919790758500436, w
896783, 3, 0.37262872628726285, w
12, 3, 0.3615795390668915, w
45234, 2, 0.22723367697594501, w
896783, 2, 0.22899728997289973, w
9, 2, 0.22377215925603022, w
15, 2, 0.2251124859392576, w
12, 2, 0.2202079820123665, w
896783, 1, 0.06925624811803674, w
9, 1, 0.05928509154315606, w
12, 1, 0.06913996627318718, w
15, 1, 0.06664791901012374, w
45234, 1, 0.07058991981672394, w
896783, 5, 0.4944293887383318,w/o
12, 5, 0.5061832490163013,w/o
9, 5, 0.496222028480093,w/o
45234, 5, 0.5058705612829324,w/o
15, 5, 0.5075928008998876,w/o
9, 62, 0.6133391455972101,w/o
15, 62, 0.6230314960629921,w/o
12, 62, 0.6162169758291175,w/o
896783, 62, 0.6111111111111112,w/o
45234, 62, 0.6112542955326461,w/o
896783, 4, 0.41915085817524844,w/o
9, 4, 0.4216797442603894,w/o
12, 4, 0.4336706014614952,w/o
45234, 4, 0.43599656357388317,w/o
15, 4, 0.4277277840269966,w/o
896783, 3, 0.31918096958747366,w/o
12, 3, 0.31815626756604837,w/o
9, 3, 0.3111014240046498,w/o
15, 3, 0.31214848143982005,w/o
45234, 3, 0.3321878579610538,w/o
45234, 2, 0.19473081328751432,w/o
9, 2, 0.1935483870967742,w/o
896783, 2, 0.19030412526347484,w/o
15, 2, 0.1902418447694038,w/o
12, 2, 0.18718381112984822,w/o
896783, 1, 0.06835290575127974,w/o
15, 1, 0.06749156355455568,w/o
9, 1, 0.05957570473699506,w/o
12, 1, 0.06450252951096122,w/o
45234, 1, 0.06901489117983964,w/o
