,val_loss,loss
0,-0.4766472529780825,-12223.933070720126
1,-2.7522166769369893,-112899.82803825538
2,-7.175516286957699,-377394.8111773173
3,-13.34209370692307,-898872.9264499028
4,-23.817579332776244,-1603178.0092025758
5,-34.5819040469553,-2510330.2337081907
6,-46.52570066737178,-3603780.7084887186
7,-63.28070001190287,-4713720.893951416
8,-79.44846833187876,-6067949.739898682
9,-100.45658722430764,-7409251.344905599
10,-120.46552512336807,-9193627.212136079
11,-141.50252396086125,-10672171.783298748
12,-164.64870947143962,-12525169.417508444
13,-191.33359902720912,-14522678.717013549
14,-219.86374682049419,-16369941.116100566
15,-248.56157854149905,-17684140.914100647
16,-280.0830807606643,-20429297.05818583
17,-310.5326687632209,-22592097.59469401
18,-344.0748607850946,-25678628.91898397
19,-377.1621692442023,-27311660.03841553
20,-405.39203038009697,-30407180.73225708
21,-449.71802168431077,-32851216.208984375
22,-490.93412187646,-36483345.56182048
23,-527.6701093401227,-38930661.617777504
24,-573.7047446621613,-41321895.94877116
25,-615.5635982272632,-45400633.51359965
26,-663.2032759656938,-48980607.04632568
27,-709.2474060058594,-51789455.55044352
28,-749.5207130204008,-55623085.787093095
29,-788.7220234918436,-55920296.371435545
30,-848.5370855489839,-61114755.599582925
31,-895.3345692783495,-64732222.54131673
32,-943.8403590002725,-68750713.84703776
33,-998.029770759253,-70329941.14916992
34,-1046.336224831616,-76423760.51553752
35,-1107.7973872086534,-79454360.50232747
36,-1158.1167046936644,-82443429.73338217
37,-1213.2501605974876,-87343947.28138834
38,-1272.2142001434022,-92248567.36469726
39,-1339.4167216861763,-94282058.47473145
40,-1378.350645553234,-100637891.553597
41,-1439.5907560329501,-104008107.18476562
42,-1517.0649332952657,-110586915.20216471
43,-1585.4734902619523,-116348711.75024821
44,-1647.563161045214,-118830905.71808268
45,-1718.9329726513834,-122446513.89269206
46,-1775.0485142299108,-124027993.41825359
47,-1845.7800238219606,-131978633.8905314
48,-1915.9335365675613,-138630834.65583497
49,-1989.5743152707123,-143112191.59940186
50,-2053.632698946221,-146130257.6040853
51,-2130.9321840609427,-148845195.5773112
52,-2195.978314472591,-158374391.413444
53,-2293.644144356053,-160448362.00557455
54,-2355.1631504198244,-171157011.82203776
55,-2428.6175857493254,-184458845.03292236
56,-2534.6953725212834,-288466045.8312663
57,-2624.639435524164,-285074173.4330404
58,-2698.284717851303,-308863013.28372395
59,-2787.6195940290177,-315620979.0488932
60,-2858.5394055946326,-318982402.917985
61,-2943.7735851199127,-330402917.98710936
62,-3005.6143162115864,-347567488.311263
63,-3103.2606505333783,-356589616.5746745
64,-3183.05360306141,-362296663.19072264
65,-3259.9485950153135,-364891813.47272134
66,-3332.5512034267285,-382664986.1174642
67,-3409.4346656165644,-390096682.72843426
68,-3485.1680088993717,-405532190.8254557
69,-3578.830179512303,-395668519.94752604
70,-3648.154610770089,-412441032.02905273
71,-3732.528526737048,-424208358.8590983
72,-3825.4757866843593,-431283175.0125
73,-3884.6224166515262,-442220161.0568685
74,-3974.5640946194976,-443195992.9330892
75,-4045.0929721566135,-463764278.28792316
76,-4142.64170943859,-469702104.0898763
77,-4224.489041249221,-494862497.9186198
78,-4319.158570552585,-474692905.9210775
79,-4399.300525753997,-492563352.46884763
80,-4472.832821259863,-498577008.35706383
81,-4564.937482155835,-511317774.64996743
82,-4652.960870178831,-535555661.39187825
83,-4728.601576288673,-527105158.71516925
84,-4822.535835950477,-549491491.9274739
85,-4916.791949199283,-565760991.345638
86,-5006.408308567795,-573093352.596224
87,-5068.487360653291,-598062224.3147787
88,-5196.793926657237,-577241652.8082356
89,-5282.462634317899,-599150284.530599
90,-5368.918321577814,-612507693.4110352
91,-5470.690339655575,-620277709.7183594
92,-5543.026883046096,-635357973.4228516
93,-5654.889855267597,-619909829.8685547
94,-5727.5435024527615,-653810253.251237
95,-5829.054509869446,-664314966.8596355
96,-5942.515687454578,-661977812.0184896
97,-6013.3559732532185,-687694707.1498047
98,-6142.10673325244,-696352645.9761719
99,-6181.254921745224,-720495893.5547526
100,-6325.4617421096345,-707708612.5260416
101,-6431.537373793086,-717596638.7776368
102,-6537.149105845099,-744588116.3006185
103,-6641.1409234842195,-747544928.0472006
104,-6726.945569618199,-771289118.0875
105,-6833.82122741902,-782306135.222461
106,-6939.00270339104,-781863485.5416015
107,-7024.790292936306,-807491639.8511719
108,-7141.557119173069,-812642512.3652344
109,-7237.699760563746,-816516685.9307617
110,-7353.301363618667,-836728220.2533203
111,-7449.602885401526,-832016014.4371744
112,-7564.839187571377,-874071023.1455729
113,-7684.716895017909,-900626660.5591797
114,-7784.205921667359,-895405085.7376302
115,-7909.08727905679,-894896569.1745442
116,-7986.63690368044,-899590887.2729818
117,-8122.462222279901,-923144486.2680664
118,-8213.732274255088,-925683403.7319661
119,-8327.793885291218,-931232774.6772135
120,-8440.870483803987,-960239199.1492839
121,-8560.75774598993,-968013928.5129883
122,-8677.809849330357,-976701244.8994792
123,-8790.856370691445,-1042637216.3011719
124,-8910.734113826307,-1035512516.1246419
125,-9018.87280030108,-1015836815.2402995
126,-9123.874263522634,-1046121395.1361328
127,-9240.90595151578,-1042211090.0629557
128,-9375.443119289866,-1076483102.5996583
129,-9458.193064135174,-1108620575.6069336
130,-9614.405719541632,-1119268566.805664
131,-9691.635539412895,-1133529809.3411458
132,-9844.684398359635,-1128127349.4261067
133,-9966.415319702553,-1143615705.0464845
134,-10079.865026733803,-1140601402.2934244
135,-10188.106479378634,-1153655357.4400065
136,-10339.87377686358,-1152261785.2156901
137,-10433.416528239202,-1176092474.8277345
138,-10585.047452502076,-1227050874.9344401
139,-10691.884864579008,-1213554324.7753906
140,-10837.421766312811,-1206025434.7572916
