,val_loss,loss
0,-0.3504714145513864,-2661.542257444898
1,-1.2510835647186964,-80204.58544303874
2,-2.5015262307914785,-189404.38384759825
3,-3.9267547090980304,-338758.05037355423
4,-5.498571555479816,-544718.9060015877
5,-7.458281286531112,-722714.459462897
6,-9.72853574245871,-984663.067047596
7,-12.723260253766842,-1315652.5526903789
8,-15.167949034922147,-1680226.4745958964
9,-18.090284612091672,-2067966.0480734508
10,-22.426031850897196,-2477699.5380510967
11,-26.02019583743276,-2916028.567629409
12,-29.281921351866863,-3277696.780490494
13,-33.467267926745244,-3788099.308835475
14,-37.920692776524746,-4360838.815361277
15,-42.373084391470364,-4459788.418520356
16,-47.077250173321595,-4949722.362120628
17,-52.13772786416089,-5631207.019167074
18,-57.12285985978339,-6442717.888824717
19,-62.19305662617731,-6449108.449494934
20,-67.48082921354478,-7448088.349908701
21,-73.24183154819019,-8194605.529509862
22,-79.80244381800047,-9138265.82678439
23,-86.46745486592137,-9019906.17800293
24,-92.36883536050486,-10512510.034898885
25,-98.92536277390793,-10573783.080208333
26,-106.36245524764458,-11615183.788078817
27,-113.67435723998618,-12852956.349330394
28,-119.36346054077148,-13188657.51742274
29,-127.3643661701798,-13508856.110144552
30,-135.0190679353733,-13785179.885976156
31,-141.8281098932919,-15963496.734394837
32,-149.27815724369697,-18038634.492626954
33,-158.51069527052564,-16977251.26252543
34,-166.4140987079405,-18322713.441845194
35,-174.67179219192047,-19325910.669895425
36,-184.13661764151234,-19947158.002404656
37,-192.55099266787303,-21606103.653538004
38,-201.41555058678915,-21584188.447419994
39,-210.58346724906238,-22668458.920548502
40,-220.07632441219698,-24340491.184524536
41,-228.50917476514644,-26188062.64002584
42,-240.185042599903,-26209947.19422048
43,-249.80805880524392,-26994114.38727061
44,-259.05905881355767,-27599117.665771484
45,-271.6396776370432,-28415389.121950787
46,-280.57717867626303,-30767024.35032552
47,-290.9360735313441,-30869119.054108683
48,-303.62063877447895,-31769009.14597219
49,-313.9483591631005,-33701535.26579387
50,-323.9983921748063,-35191691.414376326
51,-337.097451802504,-37717899.22084808
52,-345.9100824653904,-36919384.29201558
53,-359.9039066859654,-37823141.45217489
54,-370.5089725228243,-38581232.99735107
55,-380.00043814522877,-42024870.939564005
56,-393.2251216343471,-44156971.132651776
57,-407.77893842019114,-44240274.56044413
58,-419.26371237922746,-44943098.540930174
59,-432.8370630004477,-45934630.1734904
60,-446.3323511269401,-45902719.87763367
61,-458.1448806813389,-48225310.82563476
62,-471.13388223743124,-53260383.19554138
63,-483.9368682557166,-51351358.90344544
64,-500.9434788599363,-54297755.396002196
65,-513.1620391135992,-55350119.81893311
66,-529.0097023086295,-56581138.53001302
67,-542.3735713008234,-56406929.60518799
68,-557.3475477148925,-58326205.62530314
69,-569.2350926700225,-61842327.412343346
70,-585.6811483896452,-65544479.76143952
71,-601.6852126010629,-60038367.70551147
72,-615.6797065101192,-67785338.95838521
73,-632.7578212700017,-66726336.17613322
74,-647.3776344476744,-66516176.97113851
75,-664.9361459725719,-71564263.80038248
76,-680.3353301393629,-75816960.02783203
77,-694.4704689203306,-91718642.1070109
78,-715.921175731773,-111009614.77591756
79,-730.1969116819262,-103522667.1117513
80,-747.1996427517,-108435150.56835733
81,-760.6757201134565,-108654456.63341166
82,-779.5758673075426,-110477719.5090454
83,-795.9479975399385,-121246602.96824138
84,-811.5004844285324,-115618135.95457357
85,-826.9736192266014,-114211105.70280762
86,-843.6497736832628,-127359936.07664388
87,-858.6871603525358,-117938512.67180176
88,-876.3241928962378,-128663080.00523275
89,-890.5178619080604,-126552424.78166504
90,-904.9565908235569,-130701861.57998861
91,-922.0944087133059,-139755210.20512694
92,-937.6157542890885,-136748310.5891215
93,-959.7281590458563,-145715038.7926656
94,-973.4170920539932,-139457469.8830963
95,-987.1681146463286,-132960395.28378703
96,-1001.8660363485646,-150342302.26338705
97,-1020.4929490200309,-148271577.1964315
98,-1039.5606459303947,-145936607.79008383
99,-1054.9811384131347,-161167111.15131024
100,-1070.6238632455618,-147483465.39156902
101,-1088.3970390649333,-156662093.1761495
102,-1107.0897724747263,-168844626.13643393
103,-1125.7000154514249,-156110850.62651774
104,-1141.1824322570599,-158739124.16690877
105,-1153.0131858242707,-183097420.5971802
106,-1176.1341454388692,-189852429.5176473
107,-1195.3540864355143,-165892445.4822347
108,-1217.007761299412,-158363108.51341552
109,-1232.482646245101,-190054008.8779785
110,-1249.6106582590908,-178483929.76870117
111,-1270.585814922751,-182202126.61007893
112,-1285.5473895405614,-190585512.02437338
113,-1301.8494666216777,-191568516.27540892
114,-1324.3862627099122,-205550902.78273112
115,-1342.2929922718542,-196540997.5299113
116,-1366.5390734498287,-188258110.9069702
117,-1386.7374013095996,-196109731.2331787
118,-1400.7734802854418,-199663166.1239339
119,-1423.8534403956214,-210394019.6822998
120,-1439.5508913566107,-222773305.34634602
121,-1460.6151599567197,-196333263.85032552
122,-1476.529387312474,-219046201.99928385
123,-1496.4812956648411,-201620116.61295572
124,-1521.610708243031,-233878755.90760905
125,-1543.574058355287,-218852649.7910604
126,-1560.3020865101355,-206845888.1400594
127,-1571.3852648560787,-205831578.51667073
128,-1595.4274592098604,-213968570.40065917
129,-1617.9732830263056,-242229683.51634115
130,-1636.9486167121963,-245403107.07333985
131,-1658.3786031019647,-245298394.4250651
132,-1681.6443349641818,-248288718.23501384
133,-1702.437765229184,-244775790.85591635
134,-1726.5229690906613,-259363919.88008627
135,-1744.4923523557543,-251728819.17696127
136,-1766.1505621723163,-270645553.8697917
137,-1790.932297411947,-252657092.27218017
