,val_loss,loss
0,-0.011802610607623165,0.054569014086971214
1,-0.4368407915818936,-0.1458000476411152
2,-1.8323050904185025,-1.047891931138306
3,-4.235050662239986,-3.2507208975676063
4,-8.001060640633996,-6.739756536504654
5,-12.890367920718976,-12.010123901278059
6,-19.93776458057005,-19.061960681576593
7,-28.68008792222436,-28.473402611563138
8,-38.94811530611408,-39.83794006900253
9,-50.2194030960994,-54.3896863705644
10,-63.463186520249096,-69.78325977503697
11,-77.03952627039668,-87.42862420438605
12,-91.28522576858748,-106.78285995376444
13,-107.18261895250919,-126.23958844336394
14,-123.86503783268715,-148.39966276650117
15,-142.25557224786104,-171.0885715356497
16,-160.71018981933594,-196.99803988733024
17,-180.31943950368398,-223.50833263575473
18,-200.7731782144575,-251.0083849184981
19,-222.9365514499038,-277.7534752248604
20,-245.07739189489564,-306.38166702127904
21,-269.1948926555577,-340.83409514605444
22,-292.89215076503467,-373.0787453339479
23,-317.26581174935865,-408.91661927410377
24,-342.95123769276177,-449.121238369808
25,-370.1466043956244,-481.402555020056
26,-397.23525420231607,-516.439616550909
27,-424.85573361524894,-555.445945516925
28,-452.99390604958603,-591.1208808399806
29,-482.78664956164005,-633.3048290716154
30,-512.7281926852554,-669.6558562305486
31,-542.0827497795447,-710.2792836839908
32,-574.6763189515071,-753.1471212511865
33,-606.9609119927705,-798.1577707451081
34,-638.3494438057515,-840.2166686147173
35,-672.0264056760874,-887.178169607002
36,-706.3954941479128,-935.7262960416134
37,-740.8611386427239,-980.2552393262631
38,-776.2506982604069,-1020.7371175890771
39,-813.4897747893832,-1081.6940823849116
40,-848.9646014313199,-1127.8713996388087
41,-886.1170499431553,-1175.1559521684023
42,-924.0065735774253,-1235.0753658686842
43,-962.9834731372434,-1283.320789515415
44,-1001.3381994446712,-1341.42176776066
45,-1040.9668292145232,-1392.1012662370629
46,-1080.9133879248775,-1441.9700146256207
47,-1122.889971832731,-1495.2911366970739
48,-1163.1284630618877,-1558.6684479044977
49,-1206.0140399078825,-1617.5427086197328
50,-1248.628472627099,-1682.9429841799156
51,-1290.4786659354595,-1741.8276605338694
52,-1334.8294832599697,-1793.9213519230068
53,-1378.6891324626865,-1864.592200163369
54,-1425.3928527832031,-1937.591306312062
55,-1470.4825357465602,-1992.9138137959987
56,-1517.0234497981285,-2055.8558914327177
57,-1564.9205527234433,-2109.324065876898
58,-1611.5496070064717,-2181.004176630038
59,-1659.4046312019007,-2251.6798894293956
60,-1708.412849084655,-2313.766165474865
61,-1758.4947874154618,-2384.564428026431
62,-1808.1623106999184,-2430.6960774359304
63,-1856.2180339756296,-2515.3215451819874
64,-1906.2035722874884,-2564.1869680814652
65,-1957.5525667560635,-2660.6641248186056
66,-2010.2219684657766,-2748.6146206009053
67,-2063.845826106285,-2797.018433116307
68,-2115.991669156658,-2864.019677848459
