,val_loss,loss
0,0.07687229668693756,0.15908531460554173
1,-0.37757095672301394,-0.5329817456898288
2,-1.5474853364389334,-3.982383463984338
3,-3.5019475168256617,-11.046911212885492
4,-6.0472700524685985,-21.370862426044784
5,-9.178527241322533,-34.8113191907651
6,-12.902857687935901,-51.32063796141437
7,-17.26077365875244,-69.66719361777618
8,-22.150495813853706,-91.43872833251953
9,-27.2166973797243,-115.00437877334167
10,-33.029917503470806,-140.3520021527727
11,-39.29279862588911,-168.6189014755677
12,-46.35245348802253,-198.78116957049502
13,-54.13937161573723,-233.31825541558666
14,-61.74158153249257,-268.88117054021245
15,-69.45416225604157,-306.6773889844663
16,-78.83378396105411,-347.80112407363464
17,-88.00240018474521,-392.6803186719663
18,-97.80189758984011,-435.5840328608718
19,-108.1396215638118,-479.57190112532857
20,-120.97907382338795,-518.9302944290304
21,-129.96187158840806,-574.6217839606454
22,-141.43035182668203,-636.105441369743
23,-154.56632380699043,-682.2054688640844
24,-167.26636152125116,-730.7174671208747
25,-180.79817097222627,-786.6829822575935
26,-195.9372815943476,-861.3716824255257
27,-206.02295775911702,-921.4284742123613
28,-219.4806951266616,-981.4227528794904
29,-234.28042260924383,-1058.8337322484667
30,-248.7523364166715,-1128.8937817154645
31,-266.8170974503702,-1187.4937230760806
32,-277.888380363806,-1258.24208026066
33,-296.5717427267957,-1324.154648254965
34,-316.99164638234606,-1399.5650902863974
35,-328.7643899490584,-1467.1329676547898
36,-348.33841716709424,-1562.1315689799942
37,-366.76231953635147,-1656.5110068633178
38,-383.3369564227204,-1704.4557934342145
39,-402.6486121789733,-1818.538786415742
40,-419.34925819510846,-1901.5264014128213
41,-442.65688084844334,-1982.4288649514456
42,-458.358167505976,-2068.4292357257596
43,-475.6977338648554,-2153.6915294611567
44,-500.27325576098997,-2262.8315076025847
45,-521.9986271644706,-2357.4804801584405
46,-542.3719660061508,-2449.394128532053
47,-560.2113196529559,-2514.8466192227656
48,-576.9570594901469,-2611.9578070239486
49,-603.9900954516966,-2747.861141026577
50,-626.3293857859142,-2827.615455698744
51,-651.4771678412138,-2917.6086585499415
52,-671.217697826784,-3038.306332597109
53,-694.9724294178521,-3129.0063043041764
54,-716.6706333445079,-3233.8076057790595
55,-740.0287931072178,-3367.9306458089955
56,-769.1196967736998,-3441.2122745692172
57,-790.9021729426597,-3543.6787793881426
58,-813.3781004948403,-3703.7753894841558
59,-839.248194452542,-3766.6338255695096
60,-867.3040671277402,-3908.273006260952
61,-891.2291824568564,-3957.631671655958
62,-916.6694099084655,-4120.834595867406
63,-940.7485879926539,-4277.812906140479
64,-958.3902141514109,-4312.576536945094
65,-1000.8267995350396,-4485.661516136098
66,-1023.3516636179454,-4645.7148140880545
67,-1052.2519084873484,-4799.191002391209
68,-1072.888210011952,-4868.058691862588
69,-1100.968903043377,-5036.481303847839
70,-1115.039090740147,-5124.464277891355
71,-1162.5345322338503,-5211.971264420269
72,-1187.2176759634444,-5401.377801912968
73,-1226.4832116881414,-5491.024523583528
74,-1248.6377618134911,-5627.95599536361
75,-1284.7809931057602,-5811.158399350175
76,-1308.1826317630596,-5894.296236127337
77,-1339.4941324262477,-6043.418981819509
78,-1369.8807600789996,-6192.247624762705
79,-1400.5343855672809,-6238.92638817903
80,-1428.502044222248,-6452.9172477365655
81,-1466.3915059103895,-6663.296683338201
82,-1496.8413814715484,-6743.563111492406
83,-1514.8384672705806,-6855.0334541106895
84,-1551.8910959727727,-7040.827723422897
85,-1561.8679071682602,-7209.111889420269
86,-1615.2216651119404,-7390.364034207068
87,-1668.9277617041744,-7485.791544976635
88,-1686.2357268831622,-7539.194755768108
89,-1708.0367158348881,-7637.2468330169395
90,-1757.4563808156483,-7926.38372973861
91,-1789.966363252099,-8104.548942209404
92,-1806.0320589435635,-8309.938827942466
93,-1838.1869497726213,-8426.543972692756
94,-1885.4587365904852,-8464.2668890552
95,-1915.5355661876165,-8609.246376679323
96,-1953.516510465252,-8839.654616311333
97,-1987.7094817659747,-8967.24508068049
98,-2007.4568654530085,-9130.380996276284
99,-2084.7090117041744,-9432.23062390479
