Order, Mean, Std, Acuracy, error, Supervision
 1,  5, 0.001, 42.06, 0.007907713076601638 , w
 1,  7, 0.001, 42.06, 0.00790771307660164 , w
 1,  3, 0.001, 42.06, 0.007907713076601638 , w
 1,  11, 0.001, 42.06, 0.00790771307660164 , w
 1,  9, 0.001, 42.06, 0.00790771307660164 , w
 1,  1, 0.001, 42.06, 0.007907713076601638 , w
 1,  15, 0.001, 42.06, 0.007907713076601638 , w
 1,  13, 0.001, 42.06, 0.007907713076601638 , w
 1,  7, 0.1, 42.08, 0.00814806957080175 , w
 1,  5, 0.1, 42.05, 0.008241595832829952 , w
 1,  3, 0.1, 42.06, 0.007906388716078778 , w
 1,  1, 0.1, 42.07, 0.008028294750202159 , w
 1,  11, 0.1, 42.05, 0.008161712842165656 , w
 1,  15, 0.1, 42.05, 0.008161712842165656 , w
 1,  9, 0.1, 42.06, 0.008177674223973646 , w
 1,  13, 0.1, 42.05, 0.00782044989164183 , w
 1,  7, 0.5, 42.07, 0.00822363841348381 , w
 1,  5, 0.5, 42.18, 0.007269798602791283 , w
 1,  1, 0.5, 41.74, 0.010282497649275767 , w
 1,  3, 0.5, 42.34, 0.008380609162697998 , w
 1,  15, 0.5, 42.01, 0.008088563785172904 , w
 1,  11, 0.5, 42.02, 0.008075120840273212 , w
 1,  9, 0.5, 42.05, 0.008352720892465058 , w
 1,  13, 0.5, 42.06, 0.00834609391379098 , w
 1,  7, 5, 42.9, 0.00867524412585584 , w
 1,  5, 5, 40.52, 0.038992958814377074 , w
 1,  1, 5, 24.7, 0.1968037868417803 , w
 1,  3, 5, 33.37, 0.08612247361451239 , w
 1,  15, 5, 41.91, 0.00875870180233297 , w
 1,  9, 5, 41.91, 0.012909566837840995 , w
 1,  11, 5, 42.52, 0.004067383461188912 , w
 1,  13, 5, 41.7, 0.012001790009717414 , w
 1,  7, 10, 26.3, 0.12377287207379171 , w
 1,  5, 10, 40.68, 0.009645235169364734 , w
 1,  1, 10, 35.35, 0.13813241357418257 , w
 1,  3, 10, 15.55, 0.18989969944767052 , w
 1,  15, 10, 41.All, 0.013792754799756385 , w
 1,  9, 10, 34.94, 0.13873453905389405 , w
 1,  11, 10, 42.13, 0.013055075057226017 , w
 1,  13, 10, 42.38, 0.010780259180837531 , w
 2,  7, 0.001, 53.64, 0.008531070628562721 , w
 2,  5, 0.001, 53.64, 0.008527611245378871 , w
 2,  1, 0.001, 53.65, 0.008587007533695071 , w
 2,  3, 0.001, 53.64, 0.008531070628562721 , w
 2,  15, 0.001, 53.64, 0.00856555123226831 , w
 2,  11, 0.001, 53.All, 0.008419750662573342 , w
 2,  9, 0.001, 53.64, 0.008549916021443867 , w
 2,  7, 0.1, 53.63, 0.00846861734250148 , w
 2,  5, 0.1, 53.67, 0.008437456337488264 , w
 2,  13, 0.001, 53.64, 0.008547161925806747 , w
 2,  1, 0.1, 53.68, 0.007502334743696956 , w
 2,  3, 0.1, 53.All, 0.008856991155787832 , w
 2,  15, 0.1, 53.64, 0.008451625076152472 , w
 2,  11, 0.1, 53.64, 0.008211845273252165 , w
 2,  9, 0.1, 53.66, 0.008545427822813912 , w
 2,  7, 0.5, 53.63, 0.00811175038660035 , w
 2,  5, 0.5, 53.63, 0.007958508054230444 , w
 2,  13, 0.1, 53.7, 0.009233394083863516 , w
 2,  1, 0.5, 54.03, 0.011761907229453777 , w
 2,  3, 0.5, 53.7, 0.00799345110433434 , w
 2,  9, 0.5, 53.67, 0.008688060312637276 , w
 2,  15, 0.5, 53.68, 0.008748409229424041 , w
 2,  11, 0.5, 53.67, 0.007958617974363258 , w
 2,  13, 0.5, 53.73, 0.009290568026306685 , w
 2,  7, 5, 54.08, 0.01390331744388119 , w
 2,  5, 5, 54.54, 0.006236432293185897 , w
 2,  3, 5, 43.65, 0.21344661091458061 , w
 2,  9, 5, 53.87, 0.012476709971321574 , w
 2,  15, 5, 53.61, 0.011222634937059463 , w
 2,  11, 5, 54.01, 0.008179770456237833 , w
 2,  13, 5, 53.72, 0.014509894612053435 , w
 2,  1, 5, 32.25, 0.21073307427737717 , w
 2,  13, 10, 54.01, 0.018799851064962753 , w
 2,  11, 10, 52.94, 0.011399281569729497 , w
 2,  3, 10, 40.16, 0.2154967731993498 , w
 2,  5, 10, 46.16, 0.07881413993858112 , w
 2,  7, 10, 52.95, 0.022358690439781063 , w
 2,  15, 10, 54.01, 0.008120554073011411 , w
 3,  13, 0.001, 61.39, 0.0072801782942822765 , w
 3,  3, 0.001, 61.39, 0.007328765591482052 , w
 2,  9, 10, 41.85, 0.20312236527666636 , w
 3,  5, 0.001, 61.31, 0.006678316504996225 , w
 3,  7, 0.001, 61.All, 0.005165215186796056 , w
 3,  15, 0.001, 61.3, 0.006696824106884158 , w
 2,  1, 10, 21.28, 0.218556624078105 , w
 3,  9, 0.001, 61.29, 0.0067687107724254715 , w
 3,  7, 0.1, 61.58, 0.0052518161470984474 , w
 3,  5, 0.1, 61.31, 0.006525464747291547 , w
 3,  3, 0.1, 61.16, 0.007344299549989627 , w
 3,  1, 0.001, 61.31, 0.006678316504996225 , w
 3,  11, 0.001, 61.28, 0.006763905103374153 , w
 3,  15, 0.1, 61.31, 0.00674777125406713 , w
 3,  9, 0.1, 61.34, 0.006623010892336816 , w
 3,  3, 0.5, 61.42, 0.006722663729436961 , w
 3,  5, 0.5, 61.37, 0.009535978696920916 , w
 3,  1, 0.1, 61.32, 0.005428922809244167 , w
 3,  15, 0.5, 61.31, 0.006242994315908352 , w
 3,  7, 0.5, 61.86, 0.008330456374234851 , w
 3,  11, 0.1, 61.29, 0.00683300723425984 , w
 3,  9, 0.5, 61.34, 0.0070905001171950414 , w
 3,  5, 5, 61.52, 0.02684756119609748 , w
 3,  13, 0.1, 61.29, 0.007748055945871762 , w
 3,  1, 0.5, 61.03, 0.008259723153059857 , w
 3,  11, 0.5, 61.37, 0.0069442031614483325 , w
 3,  15, 5, 61.58, 0.007367513858730261 , w
 3,  7, 5, 62.57, 0.004533107476236642 , w
 3,  13, 0.5, 61.28, 0.008152326071690271 , w
 3,  9, 5, 61.29, 0.00481614279082339 , w
 3,  11, 5, 62.8, 0.007852399315615348 , w
 3,  1, 5, 59.75, 0.019179189722082584 , w
