Seed, Order, mu, sigma, Accuracy, Supervison
896783, 1,  5, 0.001, 0.4202047576031316,w
896783, 1,  7, 0.001, 0.4202047576031316,w
45234, 1,  3, 0.001, 0.4268327605956472,w
896783, 1,  11, 0.001, 0.4202047576031316,w
9, 1,  3, 0.001, 0.4068584713746004,w
9, 1,  7, 0.001, 0.4068584713746004,w
12, 1,  9, 0.001, 0.42973580663293987,w
896783, 1,  1, 0.001, 0.4202047576031316,w
12, 1,  7, 0.001, 0.42973580663293987,w
15, 1,  7, 0.001, 0.41943194600674916,w
45234, 1,  9, 0.001, 0.4268327605956472,w
45234, 1,  7, 0.001, 0.4268327605956472,w
896783, 1,  3, 0.001, 0.4202047576031316,w
9, 1,  1, 0.001, 0.4068584713746004,w
896783, 1,  15, 0.001, 0.4202047576031316,w
896783, 1,  13, 0.001, 0.4202047576031316,w
45234, 1,  5, 0.001, 0.4268327605956472,w
896783, 1,  9, 0.001, 0.4202047576031316,w
15, 1,  3, 0.001, 0.41943194600674916,w
15, 1,  9, 0.001, 0.41943194600674916,w
12, 1,  5, 0.001, 0.42973580663293987,w
15, 1,  5, 0.001, 0.41943194600674916,w
9, 1,  11, 0.001, 0.4068584713746004,w
9, 1,  5, 0.001, 0.4068584713746004,w
45234, 1,  1, 0.001, 0.4268327605956472,w
15, 1,  1, 0.001, 0.41943194600674916,w
12, 1,  11, 0.001, 0.42973580663293987,w
12, 1,  1, 0.001, 0.42973580663293987,w
9, 1,  13, 0.001, 0.4068584713746004,w
12, 1,  3, 0.001, 0.42973580663293987,w
9, 1,  9, 0.001, 0.4068584713746004,w
45234, 1,  13, 0.001, 0.4268327605956472,w
45234, 1,  11, 0.001, 0.4268327605956472,w
45234, 1,  15, 0.001, 0.4268327605956472,w
15, 1,  13, 0.001, 0.41943194600674916,w
15, 1,  15, 0.001, 0.41943194600674916,w
12, 1,  15, 0.001, 0.42973580663293987,w
15, 1,  11, 0.001, 0.41943194600674916,w
12, 1,  13, 0.001, 0.42973580663293987,w
9, 1,  15, 0.001, 0.4068584713746004,w
896783, 1,  7, 0.1, 0.4202047576031316,w
896783, 1,  5, 0.1, 0.4202047576031316,w
45234, 1,  3, 0.1, 0.4268327605956472,w
9, 1,  3, 0.1, 0.4068584713746004,w
896783, 1,  1, 0.1, 0.4202047576031316,w
896783, 1,  11, 0.1, 0.4202047576031316,w
9, 1,  7, 0.1, 0.4061319383900029,w
896783, 1,  15, 0.1, 0.4202047576031316,w
45234, 1,  7, 0.1, 0.4268327605956472,w
12, 1,  7, 0.1, 0.42973580663293987,w
15, 1,  7, 0.1, 0.421259842519685,w
896783, 1,  3, 0.1, 0.42035531466425774,w
45234, 1,  9, 0.1, 0.4269759450171821,w
45234, 1,  5, 0.1, 0.42626002290950743,w
896783, 1,  9, 0.1, 0.4202047576031316,w
12, 1,  9, 0.1, 0.42973580663293987,w
9, 1,  5, 0.1, 0.4061319383900029,w
15, 1,  5, 0.1, 0.41943194600674916,w
12, 1,  5, 0.1, 0.43043844856661045,w
896783, 1,  13, 0.1, 0.4202047576031316,w
9, 1,  11, 0.1, 0.4061319383900029,w
15, 1,  9, 0.1, 0.41971316085489313,w
9, 1,  1, 0.1, 0.4068584713746004,w
45234, 1,  1, 0.1, 0.4269759450171821,w
15, 1,  3, 0.1, 0.41943194600674916,w
12, 1,  1, 0.1, 0.4301573917931422,w
12, 1,  11, 0.1, 0.42973580663293987,w
45234, 1,  15, 0.1, 0.4268327605956472,w
9, 1,  9, 0.1, 0.4061319383900029,w
15, 1,  1, 0.1, 0.41943194600674916,w
9, 1,  13, 0.1, 0.4068584713746004,w
45234, 1,  11, 0.1, 0.4268327605956472,w
12, 1,  3, 0.1, 0.42973580663293987,w
45234, 1,  13, 0.1, 0.42626002290950743,w
15, 1,  15, 0.1, 0.41943194600674916,w
15, 1,  11, 0.1, 0.41943194600674916,w
12, 1,  13, 0.1, 0.42973580663293987,w
12, 1,  15, 0.1, 0.42973580663293987,w
15, 1,  13, 0.1, 0.41943194600674916,w
9, 1,  15, 0.1, 0.4061319383900029,w
896783, 1,  7, 0.5, 0.4202047576031316,w
896783, 1,  5, 0.5, 0.42080698584763626,w
896783, 1,  1, 0.5, 0.41448358928033724,w
45234, 1,  3, 0.5, 0.42754868270332186,w
9, 1,  3, 0.5, 0.41368788142981694,w
45234, 1,  7, 0.5, 0.4268327605956472,w
9, 1,  7, 0.5, 0.4064225515838419,w
896783, 1,  3, 0.5, 0.4186991869918699,w
896783, 1,  15, 0.5, 0.4186991869918699,w
9, 1,  5, 0.5, 0.41020052310374894,w
896783, 1,  11, 0.5, 0.41915085817524844,w
12, 1,  7, 0.5, 0.43043844856661045,w
15, 1,  7, 0.5, 0.41943194600674916,w
896783, 1,  9, 0.5, 0.41975308641975306,w
45234, 1,  9, 0.5, 0.4269759450171821,w
15, 1,  5, 0.5, 0.41929133858267714,w
45234, 1,  5, 0.5, 0.427262313860252,w
896783, 1,  13, 0.5, 0.4202047576031316,w
12, 1,  9, 0.5, 0.43043844856661045,w
12, 1,  5, 0.5, 0.4314221472737493,w
9, 1,  11, 0.5, 0.4061319383900029,w
15, 1,  9, 0.5, 0.41943194600674916,w
45234, 1,  15, 0.5, 0.4269759450171821,w
9, 1,  9, 0.5, 0.4061319383900029,w
45234, 1,  1, 0.5, 0.42511454753722794,w
9, 1,  1, 0.5, 0.3990119151409474,w
9, 1,  13, 0.5, 0.4061319383900029,w
15, 1,  3, 0.5, 0.41943194600674916,w
15, 1,  1, 0.5, 0.4204161979752531,w
12, 1,  1, 0.5, 0.4280494659921304,w
12, 1,  11, 0.5, 0.4291736930860034,w
12, 1,  3, 0.5, 0.4376053962900506,w
45234, 1,  13, 0.5, 0.4269759450171821,w
45234, 1,  11, 0.5, 0.4269759450171821,w
15, 1,  15, 0.5, 0.41943194600674916,w
15, 1,  11, 0.5, 0.41943194600674916,w
9, 1,  15, 0.5, 0.4061319383900029,w
12, 1,  13, 0.5, 0.43043844856661045,w
15, 1,  13, 0.5, 0.41943194600674916,w
12, 1,  15, 0.5, 0.4291736930860034,w
896783, 1,  7, 5, 0.4256248118036736,w
896783, 1,  5, 5, 0.44670280036133697,w
896783, 1,  1, 5, 0.001656127672387835,w
45234, 1,  3, 5, 0.1764032073310424,w
896783, 1,  15, 5, 0.4220114423366456,w
896783, 1,  3, 5, 0.4028906955736224,w
9, 1,  3, 5, 0.4010462074978204,w
45234, 1,  7, 5, 0.42396907216494845,w
896783, 1,  9, 5, 0.42622704004817824,w
9, 1,  7, 5, 0.42545771578029645,w
896783, 1,  11, 5, 0.4202047576031316,w
15, 1,  7, 5, 0.4237907761529809,w
9, 1,  5, 5, 0.4099099099099099,w
15, 1,  5, 5, 0.3312710911136108,w
896783, 1,  13, 5, 0.41448358928033724,w
12, 1,  7, 5, 0.44631815626756605,w
45234, 1,  5, 5, 0.41652348224513175,w
45234, 1,  9, 5, 0.4269759450171821,w
9, 1,  11, 5, 0.42226097064806745,w
45234, 1,  15, 5, 0.4231099656357388,w
15, 1,  9, 5, 0.42449381327334085,w
12, 1,  9, 5, 0.4243957279370433,w
9, 1,  13, 5, 0.3978494623655914,w
9, 1,  9, 5, 0.3933449578610869,w
12, 1,  5, 5, 0.42144463181562675,w
15, 1,  3, 5, 0.3816085489313836,w
15, 1,  1, 5, 0.4176040494938133,w
45234, 1,  1, 5, 0.011597938144329897,w
12, 1,  3, 5, 0.3067734682405846,w
9, 1,  1, 5, 0.3814298169136879,w
12, 1,  11, 5, 0.42973580663293987,w
12, 1,  1, 5, 0.42270938729623386,w
45234, 1,  13, 5, 0.4236827033218786,w
15, 1,  11, 5, 0.4235095613048369,w
45234, 1,  11, 5, 0.4302691867124857,w
9, 1,  15, 5, 0.4043882592269689,w
15, 1,  15, 5, 0.4153543307086614,w
15, 1,  13, 5, 0.41465129358830144,w
12, 1,  13, 5, 0.4342327150084317,w
