Seed, Order, Accuracy, Supervision
9, 58, 0.7429526300494043,w
45234, 62, 0.75,w
15, 62, 0.749437570303712,w
12, 62, 0.7495784148397976,w
896783, 62, 0.7439024390243902,w
9, 1, 0.2045916884626562,w
9, 2, 0.31415286253995933,w
45234, 1, 0.21334478808705612,w
15, 1, 0.2152699662542182,w
12, 1, 0.2105115233277122,w
9, 3, 0.3991572217378669,w
896783, 1, 0.21168322794339053,w
45234, 2, 0.3293241695303551,w
9, 4, 0.495350188898576,w
15, 2, 0.34280089988751405,w
12, 2, 0.3191399662731872,w
896783, 2, 0.3238482384823848,w
9, 5, 0.5809357744841616,w
45234, 3, 0.41280068728522334,w
15, 3, 0.4167604049493813,w
12, 3, 0.40345699831365933,w
896783, 3, 0.40725685034628123,w
45234, 4, 0.506729667812142,w
15, 4, 0.5026715410573678,w
12, 4, 0.4966273187183811,w
896783, 4, 0.4995483288166215,w
45234, 5, 0.5960767468499427,w
15, 5, 0.5922384701912261,w
12, 5, 0.5720910623946037,w
896783, 5, 0.5800963565191207,w
9, 58, 0.6005521650682941,w/o
15, 62, 0.6144544431946006,w/o
896783, 62, 0.5995182174043963,w/o
45234, 62, 0.6038087056128293,w/o
12, 62, 0.6066610455311973,w/o
896783, 1, 0.1996386630532972,w/o
9, 1, 0.1907875617553037,w/o
15, 1, 0.20374015748031496,w/o
45234, 1, 0.19415807560137457,w/o
896783, 2, 0.29388738331827763,w/o
9, 2, 0.2881429816913688,w/o
15, 2, 0.30497750281214847,w/o
896783, 3, 0.3679614573923517,w/o
45234, 2, 0.2847938144329897,w/o
12, 1, 0.17818999437886454,w/o
9, 3, 0.36297587910491136,w/o
15, 3, 0.37401574803149606,w/o
896783, 4, 0.4373682625715146,w/o
45234, 3, 0.37127720504009165,w/o
9, 4, 0.4344667247893054,w/o
15, 4, 0.4431946006749156,w/o
12, 2, 0.29482855536818436,w/o
896783, 5, 0.48810599217103284,w/o
45234, 4, 0.4443012600229095,w/o
9, 5, 0.497675094449288,w/o
15, 5, 0.5098425196850394,w/o
12, 3, 0.3669196177627881,w/o
45234, 5, 0.5064432989690721,w/o
12, 4, 0.4328274311410905,w/o
12, 5, 0.488336143901068,w/o
