seed: 896783, iteration: 0 ,accuracy0.48524540800963567
seed: 896783, iteration: 1 ,accuracy0.48148148148148145
seed: 896783, iteration: 2 ,accuracy0.4905149051490515
seed: 896783, iteration: 3 ,accuracy0.49066546221017765
seed: 896783, iteration: 4 ,accuracy0.494579945799458
seed: 896783, iteration: 5 ,accuracy0.49066546221017765
seed: 896783, iteration: 6 ,accuracy0.491869918699187
seed: 896783, iteration: 7 ,accuracy0.4902137910267992
seed: 896783, iteration: 8 ,accuracy0.4902137910267992
seed: 896783, iteration: 9 ,accuracy0.49036434808792534
seed: 896783, iteration: 10 ,accuracy0.49036434808792534
seed: 896783, iteration: 11 ,accuracy0.49036434808792534
seed: 896783, iteration: 12 ,accuracy0.49036434808792534
seed: 896783, iteration: 13 ,accuracy0.49036434808792534
seed: 896783, iteration: 14 ,accuracy0.49036434808792534
seed: 896783, iteration: 15 ,accuracy0.49036434808792534
seed: 896783, iteration: 16 ,accuracy0.49036434808792534
seed: 896783, iteration: 17 ,accuracy0.49036434808792534
seed: 896783, iteration: 18 ,accuracy0.49036434808792534
seed: 896783, iteration: 19 ,accuracy0.49036434808792534
seed: 896783, iteration: 20 ,accuracy0.49036434808792534
seed896783 ,MAX0.494579945799458
seed: 9, iteration: 0 ,accuracy0.4803836094158675
seed: 9, iteration: 1 ,accuracy0.475297878523685
seed: 9, iteration: 2 ,accuracy0.4763150247021215
seed: 9, iteration: 3 ,accuracy0.475007265329846
seed: 9, iteration: 4 ,accuracy0.47573379831444346
seed: 9, iteration: 5 ,accuracy0.4699215344376635
seed: 9, iteration: 6 ,accuracy0.47515257192676547
seed: 9, iteration: 7 ,accuracy0.472101133391456
seed: 9, iteration: 8 ,accuracy0.47224643998837545
seed: 9, iteration: 9 ,accuracy0.47224643998837545
seed: 9, iteration: 10 ,accuracy0.47224643998837545
seed: 9, iteration: 11 ,accuracy0.47224643998837545
seed: 9, iteration: 12 ,accuracy0.47224643998837545
seed: 9, iteration: 13 ,accuracy0.47224643998837545
seed: 9, iteration: 14 ,accuracy0.47224643998837545
seed: 9, iteration: 15 ,accuracy0.47224643998837545
seed: 9, iteration: 16 ,accuracy0.47224643998837545
seed: 9, iteration: 17 ,accuracy0.47224643998837545
seed: 9, iteration: 18 ,accuracy0.47224643998837545
seed: 9, iteration: 19 ,accuracy0.47224643998837545
seed: 9, iteration: 20 ,accuracy0.47224643998837545
seed9 ,MAX0.4803836094158675
seed: 45234, iteration: 0 ,accuracy0.4869702176403207
seed: 45234, iteration: 1 ,accuracy0.4798109965635739
seed: 45234, iteration: 2 ,accuracy0.4896907216494845
seed: 45234, iteration: 3 ,accuracy0.4838201603665521
seed: 45234, iteration: 4 ,accuracy0.48739977090492553
seed: 45234, iteration: 5 ,accuracy0.479524627720504
seed: 45234, iteration: 6 ,accuracy0.4825315005727377
seed: 45234, iteration: 7 ,accuracy0.48109965635738833
seed: 45234, iteration: 8 ,accuracy0.4813860252004582
seed: 45234, iteration: 9 ,accuracy0.4802405498281787
seed: 45234, iteration: 10 ,accuracy0.4802405498281787
seed: 45234, iteration: 11 ,accuracy0.4802405498281787
seed: 45234, iteration: 12 ,accuracy0.4802405498281787
seed: 45234, iteration: 13 ,accuracy0.4802405498281787
seed: 45234, iteration: 14 ,accuracy0.4802405498281787
seed: 45234, iteration: 15 ,accuracy0.4802405498281787
seed: 45234, iteration: 16 ,accuracy0.4802405498281787
seed: 45234, iteration: 17 ,accuracy0.4802405498281787
seed: 45234, iteration: 18 ,accuracy0.4802405498281787
seed: 45234, iteration: 19 ,accuracy0.4802405498281787
seed: 45234, iteration: 20 ,accuracy0.4802405498281787
seed45234 ,MAX0.4896907216494845
seed: 12, iteration: 0 ,accuracy0.4945193929173693
seed: 12, iteration: 1 ,accuracy0.49128724002248453
seed: 12, iteration: 2 ,accuracy0.49887577290612706
seed: 12, iteration: 3 ,accuracy0.49508150646430577
seed: 12, iteration: 4 ,accuracy0.49957841483979765
seed: 12, iteration: 5 ,accuracy0.4955030916245082
seed: 12, iteration: 6 ,accuracy0.49873524451939294
seed: 12, iteration: 7 ,accuracy0.4963462619449129
seed: 12, iteration: 8 ,accuracy0.4974704890387858
seed: 12, iteration: 9 ,accuracy0.4955030916245082
seed: 12, iteration: 10 ,accuracy0.4955030916245082
seed: 12, iteration: 11 ,accuracy0.4955030916245082
seed: 12, iteration: 12 ,accuracy0.4955030916245082
seed: 12, iteration: 13 ,accuracy0.4955030916245082
seed: 12, iteration: 14 ,accuracy0.4955030916245082
seed: 12, iteration: 15 ,accuracy0.4955030916245082
seed: 12, iteration: 16 ,accuracy0.4955030916245082
seed: 12, iteration: 17 ,accuracy0.4955030916245082
seed: 12, iteration: 18 ,accuracy0.4955030916245082
seed: 12, iteration: 19 ,accuracy0.4955030916245082
seed: 12, iteration: 20 ,accuracy0.4955030916245082
seed12 ,MAX0.49957841483979765
seed: 15, iteration: 0 ,accuracy0.47665916760404947
seed: 15, iteration: 1 ,accuracy0.4782058492688414
seed: 15, iteration: 2 ,accuracy0.48495500562429694
seed: 15, iteration: 3 ,accuracy0.49015748031496065
seed: 15, iteration: 4 ,accuracy0.4921259842519685
seed: 15, iteration: 5 ,accuracy0.4898762654668167
seed: 15, iteration: 6 ,accuracy0.49170416197975253
seed: 15, iteration: 7 ,accuracy0.4911417322834646
seed: 15, iteration: 8 ,accuracy0.48959505061867264
seed: 15, iteration: 9 ,accuracy0.4894544431946007
seed: 15, iteration: 10 ,accuracy0.4894544431946007
seed: 15, iteration: 11 ,accuracy0.4894544431946007
seed: 15, iteration: 12 ,accuracy0.4894544431946007
seed: 15, iteration: 13 ,accuracy0.4894544431946007
seed: 15, iteration: 14 ,accuracy0.4894544431946007
seed: 15, iteration: 15 ,accuracy0.4894544431946007
seed: 15, iteration: 16 ,accuracy0.4894544431946007
seed: 15, iteration: 17 ,accuracy0.4894544431946007
seed: 15, iteration: 18 ,accuracy0.4894544431946007
seed: 15, iteration: 19 ,accuracy0.4894544431946007
seed: 15, iteration: 20 ,accuracy0.48931383577052867
seed15 ,MAX0.4921259842519685
