Seed, Order, Accuracy
9, 58, 0.7429526300494043
45234, 62, 0.75
15, 62, 0.749437570303712
12, 62, 0.7495784148397976
896783, 62, 0.7439024390243902
9, 1, 0.2045916884626562
9, 2, 0.31415286253995933
45234, 1, 0.21334478808705612
15, 1, 0.2152699662542182
12, 1, 0.2105115233277122
9, 3, 0.3991572217378669
896783, 1, 0.21168322794339053
45234, 2, 0.3293241695303551
9, 4, 0.495350188898576
15, 2, 0.34280089988751405
12, 2, 0.3191399662731872
896783, 2, 0.3238482384823848
9, 5, 0.5809357744841616
45234, 3, 0.41280068728522334
15, 3, 0.4167604049493813
12, 3, 0.40345699831365933
896783, 3, 0.40725685034628123
45234, 4, 0.506729667812142
15, 4, 0.5026715410573678
12, 4, 0.4966273187183811
896783, 4, 0.4995483288166215
45234, 5, 0.5960767468499427
15, 5, 0.5922384701912261
12, 5, 0.5720910623946037
896783, 5, 0.5800963565191207
