seed, class_number, acc
15, 10, 0.33647356580427445
896783, 10, 0.32234266787112315
9, 10, 0.33217088055797733
45234, 10, 0.3258877434135166
896783, 50, 0.33152664859981934
12, 50, 0.33010118043844855
9, 50, 0.33158965417029934
45234, 50, 0.3320446735395189
15, 50, 0.3363329583802025
9, 100, 0.32272595175820984
15, 100, 0.3359111361079865
15, 150, 0.33506749156355453
896783, 100, 0.33935561577838
12, 150, 0.3253232152894885
45234, 100, 0.3337628865979381
12, 100, 0.33375491849353567
45234, 150, 0.32674684994272624
896783, 200, 0.3325805480277025
896783, 150, 0.33544113218909966
9, 150, 0.3247602441150828
9, 200, 0.33667538506248185
15, 200, 0.34153543307086615
45234, 200, 0.3293241695303551
12, 200, 0.3333333333333333
15, 300, 0.33970753655793023
45234, 300, 0.3370561282932417
896783, 300, 0.3453778982234267
9, 300, 0.3400174367916303
12, 300, 0.33965711073636873
896783, 500, 0.3422161999397772
15, 500, 0.34491001124859394
45234, 500, 0.33591065292096217
12, 500, 0.3406408094435076
9, 500, 0.3453937808776518
