Order,Itration,Value
0 , 0 , 0.15443059677411844
1 , 0 , 0.13480938513537258
2 , 0 , 0.11943845355915322
3 , 0 , 0.10655211794335952
4 , 0 , 0.10236031266119766
5 , 0 , 0.09263232732921918
6 , 0 , 0.0835698342050397
7 , 0 , 0.07465618745497034
8 , 0 , 0.06806484148900352
9 , 0 , 0.06348594344856612
0 , 1 , 0.22681110436532387
1 , 1 , 0.16709572122319216
2 , 1 , 0.13106839689837352
3 , 1 , 0.10568844721954598
4 , 1 , 0.09688855503392116
5 , 1 , 0.07844569861552207
6 , 1 , 0.06466651342275795
7 , 1 , 0.0505023126514665
8 , 1 , 0.04221688419400767
9 , 1 , 0.03661636637588924
0 , 2 , 0.30849283038888886
1 , 2 , 0.1916749294402286
2 , 2 , 0.13374504221396316
3 , 2 , 0.09762306641193115
4 , 2 , 0.08548379488009746
5 , 2 , 0.06156291957286833
6 , 2 , 0.04632405926927858
7 , 2 , 0.03153554350912214
8 , 2 , 0.024122916222521922
9 , 2 , 0.019434898091099752
0 , 3 , 0.39175321416694114
1 , 3 , 0.20640866214699896
2 , 3 , 0.12845289902706014
3 , 3 , 0.08491580994085034
4 , 3 , 0.07102064370966038
5 , 3 , 0.04541360067909521
6 , 3 , 0.031042878148454262
7 , 3 , 0.018444152835942928
8 , 3 , 0.012888024920218608
9 , 3 , 0.00966011442477776
0 , 4 , 0.4711713156020564
1 , 4 , 0.21157490866585774
2 , 4 , 0.11758012969968713
3 , 4 , 0.07043752149249916
4 , 4 , 0.056226012248286675
5 , 4 , 0.03191823606940881
6 , 4 , 0.019737042121091335
7 , 4 , 0.01025272401469299
8 , 4 , 0.006534294953926964
9 , 4 , 0.004567815132492914
0 , 5 , 0.5437916482650622
1 , 5 , 0.2088481168259896
2 , 5 , 0.10370630022596976
3 , 5 , 0.056336244241896566
4 , 5 , 0.04288119181872317
5 , 5 , 0.021623328225837072
6 , 5 , 0.012062023288967449
7 , 5 , 0.005485938729001969
8 , 5 , 0.0031841521339140014
9 , 5 , 0.0020810562446381777
0 , 6 , 0.608470341991274
1 , 6 , 0.20033396384039717
2 , 6 , 0.08890417584973252
3 , 6 , 0.04382171835254147
4 , 6 , 0.031781415817224684
5 , 6 , 0.01424838610014727
6 , 6 , 0.0071583123688464196
7 , 6 , 0.0028532852382296423
8 , 6 , 0.001506143110478073
9 , 6 , 0.0009222573311286244
0 , 7 , 0.6651231119809631
1 , 7 , 0.18800397979277514
2 , 7 , 0.07456405276227898
3 , 7 , 0.03336645532549056
4 , 7 , 0.023043079290380044
5 , 7 , 0.009193243972553933
6 , 7 , 0.004156281901791893
7 , 7 , 0.0014528653712892697
8 , 7 , 0.0006966084166970784
9 , 7 , 0.0004003211857798433
0 , 8 , 0.7142052322853826
1 , 8 , 0.1734731830875621
2 , 8 , 0.061482525298989926
3 , 8 , 0.024987581886185585
4 , 8 , 0.016425578462472917
5 , 8 , 0.005836370232546346
6 , 8 , 0.002373782309714666
7 , 8 , 0.0007279865576978922
8 , 8 , 0.0003167177355622502
9 , 8 , 0.00017104214388583198
0 , 9 , 0.7564143000733321
1 , 9 , 0.15796440990395658
2 , 9 , 0.050024718460877034
3 , 9 , 0.01847063148426999
4 , 9 , 0.011553797237792192
5 , 9 , 0.0036587815496180657
6 , 9 , 0.0013387700220028123
7 , 9 , 0.00036029246089799746
8 , 9 , 0.0001421057246228338
9 , 9 , 7.219308263019212e-05
0 , 10 , 0.7925300785567362
1 , 10 , 0.14235053959017346
2 , 10 , 0.040275515953561804
3 , 10 , 0.013513178733478329
4 , 10 , 0.008042142435416046
5 , 10 , 0.0022709364625225384
6 , 10 , 0.0007477141035879586
7 , 10 , 0.00017660749397299373
8 , 10 , 6.310540564714343e-05
9 , 10 , 3.0181264903551925e-05
0 , 11 , 0.8233287850061917
1 , 11 , 0.12722035073140417
2 , 11 , 0.032155359545148636
3 , 11 , 0.009805157712633327
4 , 11 , 0.005551304168942483
5 , 11 , 0.001398380585532932
6 , 11 , 0.0004144272525879581
7 , 11 , 8.591595568970795e-05
8 , 11 , 2.7796457799757805e-05
9 , 11 , 1.2522584069300582e-05
0 , 12 , 0.8495381357425577
1 , 12 , 0.11294470996051548
2 , 12 , 0.02550029272535506
3 , 12 , 0.007067646183049162
4 , 12 , 0.0038064181469937065
5 , 12 , 0.0008556058054484057
6 , 12 , 0.00022831655229014816
7 , 12 , 4.154549099279108e-05
8 , 12 , 1.2164926054760508e-05
9 , 12 , 5.164466742800556e-06
0 , 13 , 0.8718159208919033
1 , 13 , 0.09973423041099451
2 , 13 , 0.02011327746546441
3 , 13 , 0.005067205633557919
4 , 13 , 0.002595969287838624
5 , 13 , 0.0005208079013671864
6 , 13 , 0.00012517932517021392
7 , 13 , 1.999300864787613e-05
8 , 13 , 5.296530682541867e-06
9 , 13 , 2.1195443734651402e-06
0 , 14 , 0.890742597456806
1 , 14 , 0.08768594286341154
2 , 14 , 0.01579474407232315
3 , 14 , 0.0036171827574812522
4 , 14 , 0.0017627353777872451
5 , 14 , 0.00031568413743108756
6 , 14 , 6.836647769511404e-05
7 , 14 , 9.583849356861418e-06
8 , 14 , 2.296556784535044e-06
9 , 14 , 8.664509231915102e-07
0 , 15 , 0.9068220891015495
1 , 15 , 0.07681932398746004
2 , 15 , 0.012359135104447664
3 , 15 , 0.0025729187077219856
4 , 15 , 0.0011926961126764036
5 , 15 , 0.00019069084710743507
6 , 15 , 3.722103466618455e-05
7 , 15 , 4.579583876766354e-06
8 , 15 , 9.924637384367708e-07
9 , 15 , 3.5305675562138347e-07
0 , 16 , 0.9204870546621147
1 , 16 , 0.06710314768516444
2 , 16 , 0.009642535776727206
3 , 16 , 0.001824784544856006
4 , 16 , 0.0008046497342395147
5 , 16 , 0.00011486123430699511
6 , 16 , 2.021247677677759e-05
7 , 16 , 2.1826645429148902e-06
8 , 16 , 4.277402431482434e-07
9 , 16 , 1.4348102831656671e-07
0 , 17 , 0.9321062357285372
1 , 17 , 0.058474928534793615
2 , 17 , 0.007504956448669493
3 , 17 , 0.0012910680659169711
4 , 17 , 0.0005415544675631698
5 , 17 , 6.902349428908248e-05
6 , 17 , 1.0953068482708287e-05
7 , 17 , 1.0380613483016043e-06
8 , 17 , 1.8394762183689942e-07
9 , 17 , 5.818277764673103e-08
0 , 18 , 0.9419924209055424
1 , 18 , 0.05085464019378653
2 , 18 , 0.005829630825645064
3 , 18 , 0.000911629282482634
4 , 18 , 0.0003637609264793829
5 , 18 , 4.139740986850235e-05
6 , 18 , 5.925112877659606e-06
7 , 18 , 4.928275927753985e-07
8 , 18 , 7.8964886169381e-08
9 , 18 , 2.355083886217639e-08
0 , 19 , 0.9504101933794946
1 , 19 , 0.04415414599512815
2 , 19 , 0.004520823684755577
3 , 19 , 0.0006426358311747711
4 , 19 , 0.00024393542175596623
5 , 19 , 2.478809546757832e-05
6 , 19 , 3.2005926066691403e-06
7 , 19 , 2.3363251107221246e-07
8 , 19 , 3.384875150621312e-08
9 , 19 , 9.518354196486004e-09
0 , 20 , 0.9575830369001955
1 , 20 , 0.03828349480656735
2 , 20 , 0.0035010477484210063
3 , 20 , 0.0004523852189721844
4 , 20 , 0.00016335703745646316
5 , 20 , 1.4822534505257127e-05
6 , 20 , 1.726796889819352e-06
7 , 20 , 1.1062263386172103e-07
8 , 20 , 1.449226018715909e-08
9 , 20 , 3.842098285618547e-09
