0.005 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'best'} 
0.014 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'random'} 
0.007 (+/-0.008) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
0.014 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'random'} 
0.005 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'best'} 
0.007 (+/-0.001) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'random'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'random'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'random'} 
0.007 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'random'} 
0.643 (+/-0.004) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'} 
0.639 (+/-0.009) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'} 
0.619 (+/-0.005) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'best'} 
0.627 (+/-0.013) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'random'} 
0.608 (+/-0.012) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'} 
0.601 (+/-0.001) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'random'} 
0.005 (+/-0.004) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'best'} 
0.014 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'random'} 
0.010 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'random'} 
0.007 (+/-0.007) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.1, 'min_samples_split': 20, 'splitter': 'random'} 
0.022 (+/-0.030) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 10, 'splitter': 'random'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 15, 'splitter': 'random'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 0.5, 'min_samples_split': 20, 'splitter': 'random'} 
0.644 (+/-0.003) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'} 
0.641 (+/-0.006) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'} 
0.622 (+/-0.013) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'best'} 
0.622 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 15, 'splitter': 'random'} 
0.610 (+/-0.016) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'best'} 
0.606 (+/-0.000) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 20, 'splitter': 'random'} 
0.006 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'best'} 
0.029 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 10, 'splitter': 'random'} 
0.005 (+/-0.002) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'best'} 
0.014 (+/-0.015) for {'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 0.1, 'min_samples_split': 15, 'splitter': 'random'} 
